gutenberg_id	text
6150	the latter, the few couplets which he seems to have considered himself
6150	bound by custom to tack on to their close, at the end of a scene or an
6150	act.
6150	""
6150	I have adopted, not without hesitation, the Latin, rather than the
6150	Greek, nomenclature for the Heathen Deities. I have been induced to do
6150	so from the manifest incongruity of confounding the two; and from the
6150	fact that though English readers may be familiar with the names of
6150	Zeus, or Aphrodite, or even Poseidon, those of Hera, or Ares, or
6150	Hephaestus, or Leto, would hardly convey to them a definite
6150	signification.
6150	""
6150	It has been my aim throughout to produce a translation and not a
6150	paraphrase; not indeed such a translation as would satisfy, with regard
6150	to each word, the rigid requirements of accurate scholarship; but such
6150	as would fairly and honestly give the sense and spirit of every
6150	passage, and of every line; omitting nothing, and expanding nothing;
6150	and adhering, as closely as our language will allow, ever to every
6150	epithet which is capable of being translated, and which has, in the
6150	particular passage, anything of a special and distinctive character. Of
6150	the many deficiencies in my execution of this intention, I am but too
6150	conscious; whether I have been in any degree successful, must be left
6150	to the impartial decision of such of the Public as may honour this work
6150	with their perusal.
6150	""
6150	D.
6150	""
6150	KNOWSLEY, OCT., 1864
6150	""
6150	""
6150	""
6150	""
6150	NOTE TO THE FIFTH EDITION.
6150	""
6150	The favourable reception which has been given to the first Editions of
6150	this work, far exceeding my most sanguine hopes, affords a gratifying
6150	proof how far, in my preface, I had overrated the extent to which the
6150	taste for, and appreciation of, Classical Literature had declined. It
6150	will not, I hope, be thought extraordinary that some errors and
6150	inaccuracies should have found their way into a translation executed, I
6150	"must admit, somewhat hastily, and with less of the ""limae labor"" than I"
6150	should have bestowed upon it, had I ventured to anticipate for it so
6150	extensive a circulation. My thanks, therefore, are due to those
6150	critics, who, either publicly or privately, have called my attention to
6150	passages in which the sense of the Author has been either incorrectly
6150	or imperfectly rendered. All of these I have examined, and have availed
6150	myself of several of the suggestions offered for their correction; and
6150	a careful revision of the whole work, and renewed comparison with the
6150	original, have enabled me to discover other defects, the removal of
6150	which will, I hope, render the present Edition, especially in the eyes
6150	of Classical Scholars, somewhat more worthy of the favour which has
6150	been  accorded to its predecessors.
6150	""
6150	D.
6150	""
6150	ST. JAMES'S SQUARE, _May,_ 1885.
6150	""
6150	""
6150	""
6150	""
6150	""
6150	""
6150	ARGUMENT.
6150	""
6150	THE CONTENTION OF ACHILLES AND AGAMEMNON.
6150	""
6150	""
6150	In the war of Troy, the Greeks having sacked some of the neighbouring
6150	towns, and taken from thence two beautiful captives, Chryseis and
6150	Briseis, allotted the first to Agamemnon, and the last to Achilles.
6150	Chryses, the father of Chryseis, and priest of Apollo, comes to the
6150	Grecian camp to ransom her; with which the action of the poem opens, in
6150	the tenth year of the siege. The priest being refused, and insolently
6150	dismissed by Agamemnon, entreats for vengeance from his god, who
6150	inflicts a pestilence on the Greeks. Achilles calls a council, and
6150	encourages Calchas to declare the cause of it, who attributes it to the
6150	refusal of Chryseis. The King being obliged to send back his captive,
6150	enters into a furious contest with Achilles, which Nestor pacifies;
6150	however, as he had the absolute command of the army, he seizes on
6150	Briseis in revenge. Achilles in discontent withdraws himself and his
6150	forces from the test of the Greeks; and complaining to Thetis, she
6150	supplicates Jupiter to render them sensible of the wrong done to her
6150	son, by giving victory to the Trojans. Jupiter granting her suit,
6150	incenses Juno, between whom the debate runs high, till they are
6150	reconciled by the address of Vulcan.
6150	""
6150	The time of two-and-twenty days is taken up in this book; nine during
6150	the plague, one in the council and quarrel of the Princes, and twelve
6150	for Jupiter's stay among the Ethiopians, at whose return Thetis prefers
6150	her petition. The scene lies in the Grecian camp, then changes to
6150	Chrysa, and lastly to Olympus.
6150	""
6150	""
6150	""
6150	""
6150	BOOK I.
6150	""
6150	""
6150	Of Peleus' son, Achilles, sing, O Muse,
6150	The vengeance, deep and deadly; whence to Greece
6150	Unnumbered ills arose; which many a soul
6150	Of mighty warriors to the viewless shades
6150	Untimely sent; they on the battle plain
6150	Unburied lay, a prey to rav'ning dogs,
6150	And carrion birds; but so had Jove decreed,
6150	From that sad day when first in wordy war,
6150	The mighty Agamemnon, King of men,
6150	Confronted stood by Peleus' godlike son.
6150	""
6150	Say then, what God the fatal strife provok'd?
6150	Jove's and Latona's son; he, filled with wrath
6150	Against the King, with deadly pestilence
6150	The camp afflicted,--and the people died,--
6150	For Chryses' sake, his priest, whom Atreus' son
6150	With scorn dismiss'd, when to the Grecian ships
6150	He came, his captive daughter to redeem,
6150	With costly ransom charg'd; and in his hand
6150	The sacred fillet of his God he bore,
6150	And golden staff; to all he sued, but chief
6150	To Atreus' sons, twin captains of the host:
6150	"""Ye sons of Atreus, and ye well-greav'd Greeks,"
6150	May the great Gods, who on Olympus dwell,
6150	Grant you yon hostile city to destroy,
6150	And home return in safety; but my child
6150	Restore, I pray; her proffer'd ransom take,
6150	"And in his priest, the Lord of Light revere."""
6150	""
6150	Then through the ranks assenting murmurs ran,
6150	The priest to rev'rence, and the ransom take:
6150	Not so Atrides; he, with haughty mien,
6150	And bitter speech, the trembling sire address'd:
6150	"""Old man, I warn thee, that beside our ships"
6150	I find thee not, or ling'ring now, or back
6150	Returning; lest thou prove of small avail
6150	Thy golden staff, and fillet of thy God.
6150	Her I release not, till her youth be fled;
6150	Within my walls, in Argos, far from home,
6150	Her lot is cast, domestic cares to ply,
6150	And share a master's bed. For thee, begone!
6150	"Incense me not, lest ill betide thee now."""
6150	""
6150	He said: the old man trembled, and obeyed;
6150	Beside the many-dashing Ocean's shore
6150	Silent he pass'd; and all apart, he pray'd
6150	To great Apollo, fair Latona's son:
6150	""
6150	"""Hear me, God of the silver bow! whose care"
6150	Chrysa surrounds, and Cilia's lovely vale;
6150	Whose sov'reign sway o'er Tenedos extends;
6150	O Smintheus, hear! if e'er my offered gifts
6150	Found favour in thy sight; if e'er to thee
6150	I burn'd the fat of bulls and choicest goats,
6150	Grant me this boon--upon the Grecian host
6150	"Let thine unerring darts avenge my tears."""
6150	""
6150	Thus as he pray'd, his pray'r Apollo heard:
6150	Along Olympus' heights he pass'd, his heart
6150	Burning with wrath; behind his shoulders hung
6150	His bow, and ample quiver; at his back
6150	Rattled the fateful arrows as he mov'd;
6150	Like the night-cloud he pass'd, and from afar
6150	He bent against the ships, and sped the bolt;
6150	And fierce and deadly twang'd the silver bow.
6150	First on the mules and dogs, on man the last,
6150	Was pour'd the arrowy storm; and through the camp,
6150	Constant and num'rous, blaz'd the fun'ral fires.
6150	""
6150	Nine days the heav'nly Archer on the troops
6150	Hurl'd his dread shafts; the tenth, th' assembled Greeks
6150	Achilles call'd to council; so inspir'd
6150	By Juno, white-arm'd Goddess, who beheld
6150	With pitying eyes the wasting hosts of Greece.
6150	When all were met, and closely throng'd around,
6150	Rose the swift-footed chief, and thus began:
6150	""
6150	"""Great son of Atreus, to my mind there seems,"
6150	If we would 'scape from death, one only course,
6150	Home to retrace our steps: since here at once
6150	By war and pestilence our forces waste.
6150	But seek we first some prophet, or some priest,
6150	Or some wise vision-seer (since visions too
6150	From Jove proceed), who may the cause explain,
6150	Which with such deadly wrath Apollo fires:
6150	If for neglected hecatombs or pray'rs
6150	He blame us; or if fat of lambs and goats
6150	"May soothe his anger and the plague assuage."""
6150	""
6150	This said, he sat; and Thestor's son arose,
6150	Calchas, the chief of seers, to whom were known
6150	The present, and the future, and the past;
6150	Who, by his mystic art, Apollo's gift,
6150	Guided to Ilium's shore the Grecian fleet.
6150	Who thus with cautious speech replied, and said;
6150	"""Achilles, lov'd of Heav'n, thou bidd'st me say"
6150	Why thus incens'd the far-destroying King;
6150	Therefore I speak; but promise thou, and swear,
6150	By word and hand, to bear me harmless through.
6150	For well I know my speech must one offend,
6150	The Argive chief, o'er all the Greeks supreme;
6150	And terrible to men of low estate
6150	The anger of a King; for though awhile
6150	He veil his wrath, yet in his bosom pent
6150	It still is nurs'd, until the time arrive;
6150	"Say, then, wilt thou protect me, if I speak?"""
6150	""
6150	Him answer'd thus Achilles, swift of foot:
6150	"""Speak boldly out whate'er thine art can tell;"
6150	For by Apollo's self I swear, whom thou,
6150	O Calchas, serv'st, and who thy words inspires,
6150	That, while I live, and see the light of Heav'n,
6150	Not one of all the Greeks shall dare on thee,
6150	Beside our ships, injurious hands to lay:
6150	No, not if Agamemnon's self were he,
6150	"Who 'mid our warriors boasts the foremost place."""
6150	""
6150	Embolden'd thus, th' unerring prophet spoke:
6150	"""Not for neglected hecatombs or pray'rs,"
6150	But for his priest, whom Agamemnon scorn'd,
6150	Nor took his ransom, nor his child restor'd;
6150	On his account the Far-destroyer sends
6150	This scourge of pestilence, and yet will send;
6150	Nor shall we cease his heavy hand to feel,
6150	Till to her sire we give the bright-ey'd girl,
6150	Unbought, unransom'd, and to Chrysa's shore
6150	A solemn hecatomb despatch; this done,
6150	"The God, appeas'd, his anger may remit."""
6150	""
6150	This said, he sat; and Atreus' godlike son,
6150	The mighty monarch, Agamemnon, rose,
6150	His dark soul fill'd with fury, and his eyes
6150	Flashing like flames of fire; on Calchas first
6150	A with'ring glance he cast, and thus he spoke;
6150	""
6150	"""Prophet of ill! thou never speak'st to me"
6150	But words of evil omen; for thy soul
6150	Delights to augur ill, but aught of good
6150	Thou never yet hast promis'd, nor perform'd.
6150	And now among the Greeks thou spread'st abroad
6150	Thy lying prophecies, that all these ills
6150	Come from the Far-destroyer, for that I
6150	Refus'd the ransom of my lovely prize,
6150	And that I rather chose herself to keep,
6150	To me not less than Clytemnestra dear,
6150	My virgin-wedded wife; nor less adorn'd
6150	In gifts of form, of feature, or of mind.
6150	Yet, if it must he so, I give her back;
6150	I wish my people's safety, not their death.
6150	But seek me out forthwith some other spoil,
6150	Lest empty-handed I alone appear
6150	Of all the Greeks; for this would ill beseem;
6150	"And how I lose my present share, ye see."""
6150	""
6150	To whom Achilles, swift of foot, replied:
6150	"""Haughtiest of men, and greediest of the prey!"
6150	How shall our valiant Greeks for thee seek out
6150	Some other spoil? no common fund have we
6150	Of hoarded treasures; what our arms have won
6150	From captur'd towns, has been already shar'd,
6150	Nor can we now resume th' apportion'd spoil.
6150	Restore the maid, obedient to the God!
6150	And if Heav'n will that we the strong-built walls
6150	Of Troy should raze, our warriors will to thee
6150	"A threefold, fourfold recompense assign."""
6150	""
6150	To whom the monarch Agamemnon thus:
6150	"""Think not, Achilles, valiant though thou art"
6150	In fight, and godlike, to defraud me thus;
6150	Thou shalt not so persuade me, nor o'erreach.
6150	Think'st thou to keep thy portion of the spoil,
6150	While I with empty hands sit humbly down?
6150	The bright-ey'd girl thou bidd'st me to restore;
6150	If then the valiant Greeks for me seek out
6150	Some other spoil, some compensation just,
6150	'Tis well: if not, I with my own right hand
6150	Will from some other chief, from thee perchance,
6150	Or Ajax, or Ulysses, wrest his prey;
6150	And woe to him, on whomsoe'er I call!
6150	But this for future counsel we remit:
6150	Haste we then now our dark-ribb'd bark to launch,
6150	Muster a fitting crew, and place on board
6150	The sacred hecatomb; then last embark
6150	The fair Chryseis; and in chief command
6150	Let some one of our councillors be plac'd,
6150	Ajax, Ulysses, or Idomeneus,
6150	Or thou, the most ambitious of them all,
6150	"That so our rites may soothe the angry God."""
6150	""
6150	To whom Achilles thus with scornful glance;
6150	"""Oh, cloth'd in shamelessness! oh, sordid soul!"
6150	How canst thou hope that any Greek for thee
6150	Will brave the toils of travel or of war?
6150	Well dost thou know that 't was no feud of mine
6150	With Troy's brave sons that brought me here in arms;
6150	They never did me wrong; they never drove
6150	My cattle, or my horses; never sought
6150	In Phthia's fertile, life-sustaining fields
6150	To waste the crops; for wide between us lay
6150	The shadowy mountains and the roaring sea.
6150	With thee, O void of shame! with thee we sail'd,
6150	For Menelaus and for thee, ingrate,
6150	Glory and fame on Trojan crests to win.
6150	All this hast thou forgotten, or despis'd;
6150	And threat'nest now to wrest from me the prize
6150	I labour'd hard to win, and Greeks bestow'd.
6150	Nor does my portion ever equal thine,
6150	When on some populous town our troops have made
6150	Successful war; in the contentious fight
6150	The larger portion of the toil is mine;
6150	But when the day of distribution comes,
6150	Thine is the richest spoil; while I, forsooth,
6150	Must be too well content to bear on board
6150	Some paltry prize for all my warlike toil.
6150	To Phthia now I go; so better far,
6150	To steer my homeward course, and leave thee here
6150	But little like, I deem, dishonouring me,
6150	"To fill thy coffers with the spoils of war."""
6150	""
6150	Whom answer'd Agamemnon, King of men:
6150	"""Fly then, if such thy mind! I ask thee not"
6150	On mine account to stay; others there are
6150	Will guard my honour and avenge my cause:
6150	And chief of all, the Lord of counsel, Jove!
6150	Of all the Heav'n-born Kings, thou art the man
6150	I hate the most; for thou delight'st in nought
6150	But war and strife: thy prowess I allow;
6150	Yet this, remember, is the gift of Heav'n.
6150	Return then, with thy vessels, if thou wilt,
6150	And with thy followers, home; and lord it there
6150	Over thy Myrmidons! I heed thee not!
6150	I care not for thy fury! Hear my threat:
6150	Since Phoebus wrests Chryseis from my arms,
6150	In mine own ship, and with mine own good crew,
6150	Her I send forth; and, in her stead, I mean,
6150	Ev'n from thy tent, myself, to bear thy prize,
6150	The fair Briseis; that henceforth thou know
6150	How far I am thy master; and that, taught
6150	By thine example, others too may fear
6150	"To rival me, and brave me to my face."""
6150	""
6150	Thus while he spake, Achilles chaf'd with rage;
6150	And in his manly breast his heart was torn
6150	With thoughts conflicting--whether from his side
6150	To draw his mighty sword, and thrusting by
6150	Th' assembled throng, to kill th' insulting King;
6150	Or school his soul, and keep his anger down.
6150	But while in mind and spirit thus he mus'd,
6150	And half unsheath'd his sword, from Heav'n came down
6150	Minerva, sent by Juno, white-arm'd Queen,
6150	Whose love and care both chiefs alike enjoy'd.
6150	She stood behind, and by the yellow hair
6150	She held the son of Peleus, visible
6150	To him alone, by all the rest unseen.
6150	Achilles, wond'ring, turn'd, and straight he knew
6150	The blue-eyed Pallas; awful was her glance;
6150	Whom thus the chief with winged words address'd:
6150	""
6150	"""Why com'st thou, child of aegis-bearing Jove?"
6150	To see the arrogance of Atreus' son?
6150	But this I say, and will make good my words,
6150	"This insolence may cost him soon his life."""
6150	""
6150	To whom the blue-ey'd Goddess thus replied:
6150	"""From Heav'n I came, to curb, if thou wilt hear,"
6150	Thy fury; sent by Juno, white-arm'd Queen,
6150	Whose love and care ye both alike enjoy.
6150	Cease, then, these broils, and draw not thus thy sword;
6150	In words, indeed, assail him as thou wilt.
6150	But this I promise, and will make it good,
6150	The time shall come, when for this insolence
6150	A threefold compensation shall be thine;
6150	"Only be sway'd by me, and curb thy wrath."""
6150	""
6150	Whom answer'd thus Achilles, swift of foot:
6150	"""Goddess, I needs must yield to your commands,"
6150	Indignant though I be--for so 'tis best;
6150	"Who hears the Gods, of them his pray'rs are heard."""
6150	""
6150	He said: and on the silver hilt he stay'd
6150	His pow'rful hand, and flung his mighty sword
6150	Back to its scabbard, to Minerva's word
6150	Obedient: she her heav'nward course pursued
6150	To join th' Immortals in th' abode of Jove.
6150	But Peleus' son, with undiminish'd wrath,
6150	Atrides thus with bitter words address'd:
6150	""
6150	"""Thou sot, with eye of dog, and heart of deer!"
6150	Who never dar'st to lead in armed fight
6150	Th' assembled host, nor with a chosen few
6150	To man the secret ambush--for thou fear'st
6150	To look on death--no doubt 'tis easier far,
6150	Girt with thy troops, to plunder of his right
6150	Whoe'er may venture to oppose thy will!
6150	A tyrant King, because thou rul'st o'er slaves!
6150	Were it not so, this insult were thy last.
6150	But this I say, and with an oath confirm,
6150	By this my royal staff, which never more
6150	Shall put forth leaf nor spray, since first it left
6150	Upon the mountain-side its parent stem,
6150	Nor blossom more; since all around the axe
6150	Hath lopp'd both leaf and bark, and now 'tis borne
6150	Emblem of justice, by the sons of Greece,
6150	Who guard the sacred ministry of law
6150	Before the face of Jove! a mighty oath!
6150	The time shall come, when all the sons of Greece
6150	Shall mourn Achilles' loss; and thou the while,
6150	Heart-rent, shalt be all-impotent to aid,
6150	When by the warrior-slayer Hector's hand
6150	Many shall fall; and then thy soul shall mourn
6150	"The slight on Grecia's bravest warrior cast."""
6150	""
6150	Thus spoke Pelides; and upon the ground
6150	He cast his staff, with golden studs emboss'd,
6150	And took his seat; on th' other side, in wrath,
6150	Atrides burn'd; but Nestor interpos'd;
6150	Nestor, the leader of the Pylian host,
6150	The smooth-tongued chief, from whose persuasive lips
6150	Sweeter than honey flowed the stream of speech.
6150	Two generations of the sons of men
6150	For him were past and gone, who with himself
6150	Were born and bred on Pylos' lovely shore,
6150	And o'er the third he now held royal sway.
6150	He thus with prudent words the chiefs address'd:
6150	""
6150	"""Alas, alas! what grief is this for Greece!"
6150	What joy for Priam, and for Priam's sons!
6150	What exultation for the men of Troy,
6150	To hear of feuds 'tween you, of all the Greeks
6150	The first in council, and the first in fight!
6150	Yet, hear my words, I pray; in years, at least,
6150	Ye both must yield to me; and in times past
6150	I liv'd with men, and they despis'd me not,
6150	Abler in counsel, greater than yourselves.
6150	Such men I never saw, and ne'er shall see,
6150	As Pirithous and Dryas, wise and brave,
6150	Coeneus, Exadius, godlike Polypheme,
6150	And Theseus, AEgeus' more than mortal son.
6150	The mightiest they among the sons of men;
6150	The mightiest they, and of the forest beasts
6150	Strove with the mightiest, and their rage subdued.
6150	With them from distant lands, from Pylos' shore
6150	I join'd my forces, and their call obey'd;
6150	With them I play'd my part; with them, not one
6150	Would dare to fight of mortals now on earth.
6150	Yet they my counsels heard, my voice obey'd;
6150	And hear ye also, for my words are wise.
6150	Nor thou, though great thou be, attempt to rob
6150	Achilles of his prize, but let him keep
6150	The spoil assign'd him by the sons of Greece;
6150	Nor thou, Pelides, with the monarch strive
6150	In rivalry; for ne'er to sceptred King
6150	Hath Jove such pow'rs, as to Atrides, giv'n;
6150	And valiant though thou art, and Goddess-born,
6150	Yet mightier he, for wider is his sway.
6150	Atrides, curb thy wrath! while I beseech
6150	Achilles to forbear; in whom the Greeks
6150	"From adverse war their great defender see."""
6150	""
6150	To whom the monarch, Agamemnon, thus:
6150	"""O father, full of wisdom are thy words;"
6150	But this proud chief o'er all would domineer;
6150	O'er all he seeks to rule, o'er all to reign,
6150	To all to dictate; which I will not bear.
6150	Grant that the Gods have giv'n him warlike might,
6150	"Gave they unbridled license to his tongue?"""
6150	""
6150	To whom Achilles, interrupting, thus:
6150	"""Coward and slave indeed I might be deem'd."
6150	Could I submit to make thy word my law;
6150	To others thy commands; seek not to me
6150	To dictate, for I follow thee no more.
6150	But hear me speak, and ponder what I say:
6150	For the fair girl I fight not (since you choose
6150	To take away the prize yourselves bestow'd)
6150	With thee or any one; but of the rest
6150	My dark swift ship contains, against my will
6150	On nought shalt thou, unpunish'd, lay thy hand.
6150	Make trial if thou wilt, that these may know;
6150	"Thy life-blood soon should reek upon my spear."""
6150	""
6150	After this conflict keen of angry speech,
6150	The chiefs arose, the assembly was dispers'd.
6150	""
6150	With his own followers, and Menoetius' son,
6150	Achilles to his tents and ships withdrew.
6150	But Atreus' son launch'd a swift-sailing bark,
6150	With twenty rowers mann'd, and plac'd on board
6150	The sacred hecatomb; then last embark'd
6150	The fair Chryseis, and in chief command
6150	Laertes' son, the sage Ulysses, plac'd.
6150	They swiftly sped along the wat'ry way.
6150	""
6150	Next, proclamation through the camp was made
6150	To purify the host; and in the sea,
6150	Obedient to the word, they purified;
6150	Then to Apollo solemn rites perform'd
6150	With faultless hecatombs of bulls and goats,
6150	Upon the margin of the wat'ry waste;
6150	And, wreath'd in smoke, the savour rose to Heav'n.
6150	""
6150	The camp thus occupied, the King pursued
6150	His threaten'd plan of vengeance; to his side
6150	Calling Talthybius and Eurybates,
6150	Heralds, and faithful followers, thus he spoke:
6150	""
6150	"""Haste to Achilles' tent, and in your hand"
6150	Back with you thence the fair Briseis bring:
6150	If he refuse to send her, I myself
6150	With a sufficient force will bear her thence,
6150	"Which he may find, perchance, the worse for him."""
6150	""
6150	So spake the monarch, and with stern command
6150	Dismiss'd them; with reluctant steps they pass'd
6150	Along the margin of the wat'ry waste,
6150	Till to the tents and ships they came, where lay
6150	The warlike Myrmidons. Their chief they found
6150	Sitting beside his tent and dark-ribb'd ship.
6150	Achilles mark'd their coming, not well pleas'd:
6150	With troubled mien, and awe-struck by the King,
6150	They stood, nor dar'd accost him; but himself
6150	Divin'd their errand, and address'd them thus:
6150	""
6150	"""Welcome, ye messengers of Gods and men,"
6150	Heralds! approach in safety; not with you,
6150	But with Atrides, is my just offence,
6150	Who for the fair Briseis sends you here.
6150	Go, then, Patroclus, bring the maiden forth,
6150	And give her to their hands; but witness ye,
6150	Before the blessed Gods and mortal men,
6150	And to the face of that injurious King,
6150	When he shall need my arm, from shameful rout
6150	To save his followers; blinded by his rage,
6150	He neither heeds experience of the past
6150	Nor scans the future, provident how best
6150	"To guard his fleet and army from the foe."""
6150	""
6150	He spoke: obedient to his friend and chief,
6150	Patroclus led the fair Briseis forth,
6150	And gave her to their hands; they to the ships
6150	Retrac'd their steps, and with them the fair girl
6150	Reluctant went: meanwhile Achilles, plung'd
6150	In bitter grief, from all the band apart,
6150	Upon the margin of the hoary sea
6150	Sat idly gazing on the dark-blue waves;
6150	And to his Goddess-mother long he pray'd,
6150	"With outstretch'd hands, ""Oh, mother! since thy son"
6150	To early death by destiny is doom'd,
6150	I might have hop'd the Thunderer on high,
6150	Olympian Jove, with honour would have crown'd
6150	My little space; but now disgrace is mine;
6150	Since Agamemnon, the wide-ruling King,
6150	"Hath wrested from me, and still holds, my prize."""
6150	""
6150	Weeping, he spoke; his Goddess-mother heard,
6150	Beside her aged father where she sat
6150	In the deep ocean-caves: ascending quick
6150	Through the dark waves, like to a misty cloud,
6150	Beside her son she stood; and as he wept,
6150	She gently touch'd him with her hand, and said,
6150	"""Why weeps my son? and whence his cause of grief?"
6150	"Speak out, that I may hear, and share thy pain."""
6150	""
6150	To whom Achilles, swift of foot, replied,
6150	"Groaning, ""Thou know'st; what boots to tell thee all?"
6150	On Thebes we march'd, Eetion's sacred town,
6150	And storm'd the walls, and hither bore the spoil.
6150	The spoils were fairly by the sons of Greece
6150	Apportion'd out; and to Atrides' share
6150	The beauteous daughter of old Chryses fell.
6150	Chryses, Apollo's priest, to free his child,
6150	Came to th' encampment of the brass-clad Greeks,
6150	With costly ransom charg'd; and in his hand
6150	The sacred fillet of his God he bore,
6150	And golden staff; to all he sued, but chief
6150	To Atreus' sons, twin captains of the host.
6150	Then through the ranks assenting murmurs ran,
6150	The priest to rev'rence, and the ransom take:
6150	Not so Atrides; he, with haughty mien
6150	And bitter words, the trembling sire dismiss'd.
6150	The old man turn'd in sorrow; but his pray'r
6150	Phoebus Apollo heard, who lov'd him well.
6150	Against the Greeks he bent his fatal bow,
6150	And fast the people fell; on ev'ry side
6150	Throughout the camp the heav'nly arrows flew;
6150	A skilful seer at length the cause reveal'd
6150	Why thus incens'd the Archer-God; I then,
6150	The first, gave counsel to appease his wrath.
6150	Whereat Atrides, full of fury, rose,
6150	And utter'd threats, which he hath now fulfill'd.
6150	For Chryses' daughter to her native land
6150	In a swift-sailing ship the keen-ey'd Greeks
6150	Have sent, with costly off'rings to the God:
6150	But her, assign'd me by the sons of Greece,
6150	Brises' fair daughter, from my tent e'en now
6150	The heralds bear away. Then, Goddess, thou,
6150	If thou hast pow'r, protect thine injur'd son.
6150	Fly to Olympus, to the feet of Jove,
6150	And make thy pray'r to him, if on his heart
6150	Thou hast in truth, by word or deed, a claim.
6150	For I remember, in my father's house,
6150	I oft have heard thee boast, how thou, alone
6150	Of all th' Immortals, Saturn's cloud-girt son
6150	Didst shield from foul disgrace, when all the rest,
6150	Juno, and Neptune, and Minerva join'd,
6150	With chains to bind him; then, O Goddess, thou
6150	Didst set him free, invoking to his aid
6150	Him of the hundred arms, whom Briareus
6150	Th' immortal Gods, and men AEgeon call.
6150	He, mightier than his father, took his seat
6150	By Saturn's side, in pride of conscious strength:
6150	Fear seiz'd on all the Gods, nor did they dare
6150	To bind their King: of this remind him now,
6150	And clasp his knees, and supplicate his aid
6150	For Troy's brave warriors, that the routed Greeks
6150	Back to their ships with slaughter may be driv'n;
6150	That all may taste the folly of their King,
6150	And Agamemnon's haughty self may mourn
6150	"The slight on Grecia's bravest warrior cast."""
6150	""
6150	Thus he; and Thetis, weeping, thus replied:
6150	"""Alas, my child, that e'er I gave thee birth!"
6150	Would that beside thy ships thou could'st remain
6150	From grief exempt, and insult! since by fate
6150	Few years are thine, and not a lengthened term;
6150	At once to early death and sorrows doom'd
6150	Beyond the lot of man! in evil hour
6150	I gave thee birth! But to the snow-clad heights
6150	Of great Olympus, to the throne of Jove,
6150	Who wields the thunder, thy complaints I bear.
